,Know anyone:Nobody,Know anyone:Myself,Know anyone:Family inside HH,Know anyone:Family outside HH,Know anyone:Close friend,Know anyone:Colleague,COVID-19 Knowledge:Washing hands,COVID-19 Knowledge:Staying indoors for Self,COVID-19 Knowledge:Staying indoors for Others,COVID-19 Knowledge:Spread before symptoms,COVID-19 Knowledge:R-Number,COVID-19 Knowledge:Treatments already exist,COVID-19 Knowledge:Wearing masks,COVID-19 VCI:COVID-19 Vax Importance,COVID-19 VCI:COVID-19 Vax Safety,COVID-19 VCI:COVID-19 Vax Efficacy,COVID-19 VCI:COVID-19 Vax Compatibility,COVID-19 VCI:Contract via COVID-19 Vax,COVID-19 VCI:COVID-19 Vax benefits outweigh risks,General VCI:Vax Importance,General VCI:Vax Safety,General VCI:Vax Efficacy,General VCI:Vax Compatibility,COVID-19 Impact:Mental health,COVID-19 Impact:Financial stability,COVID-19 Impact:Daily disruption,COVID-19 Impact:Social disruption,Trust:Television,Trust:Radio,Trust:Newspapers,Trust:White House Briefings,Trust:State Govt. Briefings,Trust:National Health Authorities,Trust:International Health Authorities,Trust:Healthcare Workers,Trust:Scientists,Trust:Govt. Websites,Trust:Social Media,Trust:Celebrities,Trust:Search Engines,Trust:Family and friends,Trust:Work Guidelines,Trust:Other,Trust:None of these,Reason:Unsure if safe,Reason:Unsure if effective,Reason:Not at risk,Reason:Wait until others,Reason:Won't be ill,Reason:Other effective treatments,Reason:Already acquired immunity,Reason:Approval may be rushed,Reason:Other,Reason:Do not know,Image 1:Vaccine Intent,Image 1:Agreement,Image 1:Trust,Image 1:Fact-check,Image 1:Share,Image 2:Vaccine Intent,Image 2:Agreement,Image 2:Trust,Image 2:Fact-check,Image 2:Share,Image 3:Vaccine Intent,Image 3:Agreement,Image 3:Trust,Image 3:Fact-check,Image 3:Share,Image 4:Vaccine Intent,Image 4:Agreement,Image 4:Trust,Image 4:Fact-check,Image 4:Share,Image 5:Vaccine Intent,Image 5:Agreement,Image 5:Trust,Image 5:Fact-check,Image 5:Share,Social:Facebook used,Social:Twitter used,Social:YouTube used,Social:WhatsApp used,Social:Instagram used,Social:Pinterest used,Social:LinkedIN used,Social:Other used,Social:None of these used,Social:Facebook to receive info,Social:Twitter to receive info,Social:YouTube to receive info,Social:WhatsApp to receive info,Social:Instagram to receive info,Social:Pinterest to receive info,Social:LinkedIN to receive info,Social:Other to receive info,Social:None of these to receive info,Social:Facebook to share info,Social:Twitter to share info,Social:YouTube to share info,Social:WhatsApp to share info,Social:Instagram to share info,Social:Pinterest to share info,Social:LinkedIN to share info,Social:Other to share info,Social:None of these to share info,Shielding,Social media usage,Expected vax availability,Seen such online content,Frequency of such online content,Engaged with such online content,Vaccine Intent for self (Pre),Vaccine Intent for self (Post),Vaccine Intent for others (Pre),Vaccine Intent for others (Post),Group,Age,Gender,Education,Employment,Religion,Political,Ethnicity,Income,Region,Treatment
520,0,0,0,1,0,0,2,2,1,-1,-2,2,1,1,1,1,-1,-1,1,1,-2,0,-1,1,2,2,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,2,0,1,0,-2,0,0,-1,1,0,0,0,0,0,0,0,-1,-1,1,1,0,0,0,-2,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,2,2,2,,,2,1,1,1,ANTI US,1,2,4,2,2,2,4,2,51,1
521,1,0,0,0,0,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,,,,,,,,2,1,-1,0,-1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,6,1,1,1.0,1.0,1,1,1,1,ANTI US,1,1,3,5,2,3,3,4,14,1
522,0,0,0,1,0,0,1,1,1,1,2,1,2,2,1,1,-2,-2,2,2,2,2,2,1,2,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,2,0,0,2,0,1,0,0,2,0,1,0,0,2,0,1,0,0,2,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,2,4,3,2,,,1,2,1,1,ANTI US,2,2,5,1,1,3,1,4,34,1
523,1,0,0,0,0,0,2,1,-1,2,1,2,2,2,-1,2,-2,1,2,2,2,2,-2,2,2,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,0,2,2,2,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,,,,,,,,,,2,5,4,1,3.0,1.0,1,1,1,1,ANTI US,3,1,5,1,2,1,1,4,6,1
524,1,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,7,8,3,,,1,1,1,1,ANTI US,1,2,2,2,1,3,1,2,19,1
525,0,1,0,0,0,0,1,2,1,-1,-1,1,2,0,-1,-2,1,1,1,1,-1,1,-1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,-2,-1,1,0,1,-1,1,1,2,1,0,1,-2,1,-1,1,2,1,0,1,2,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,4,4,1,4.0,1.0,1,1,1,1,ANTI US,1,2,1,5,5,2,5,2,5,1
526,1,0,0,0,0,0,0,-1,2,1,1,-2,1,-2,1,2,-1,1,0,-2,-1,1,2,-1,-2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,-1,-2,0,-1,-1,-2,-2,-2,-2,0,1,0,-1,-2,0,-1,0,-1,-1,-1,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,2,7,4,3,,,2,3,2,4,ANTI US,1,2,6,3,5,2,1,4,45,1
527,1,0,0,0,0,0,-1,0,-1,2,2,-2,-2,0,1,-1,-1,2,1,0,-1,-2,-2,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2,0,2,0,0,-1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,3,,,3,1,1,4,ANTI US,4,2,3,4,5,3,1,2,10,1
528,0,0,0,0,1,0,1,2,2,2,1,2,-1,2,1,1,-1,-2,-2,-2,1,-2,1,-2,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-2,1,2,0,0,-1,-2,0,1,0,0,2,-1,1,-2,0,0,-1,-2,1,-2,-1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,5,1,1,3.0,1.0,3,3,3,3,ANTI US,1,2,2,3,5,3,3,1,28,1
529,0,1,0,0,0,0,1,1,-1,2,-1,-2,2,-1,-1,-2,2,2,1,-2,-1,2,-2,1,-1,2,2,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,,,,,,,,,,,2,2,0,1,0,-1,-1,0,1,-1,0,-1,-2,0,-1,2,1,0,-1,0,1,-2,1,0,-1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,4,4,1,3.0,1.0,1,1,1,2,ANTI US,2,1,5,1,5,3,3,4,11,1
530,1,0,0,0,0,0,0,-1,1,1,1,0,-1,1,1,1,-2,1,1,1,-1,-1,1,-1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,-2,-2,0,0,0,-2,-2,0,0,0,-2,-2,2,0,0,-2,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,1,4,7,2,,,4,4,4,4,ANTI US,5,2,2,5,1,3,1,1,18,1
531,1,0,0,0,0,0,2,1,2,1,1,1,2,2,2,2,-2,-1,2,2,2,2,0,0,1,-1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,7,5,2,,,1,1,1,1,ANTI US,1,2,2,1,5,3,1,3,3,1
532,1,0,0,0,0,0,1,1,1,1,1,-1,1,1,0,0,0,-1,1,1,1,1,1,1,-1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,7,6,2,,,3,2,2,2,ANTI US,3,2,3,1,1,1,4,3,11,1
533,0,0,1,0,0,0,-2,-2,-1,-2,-1,-2,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,1,1,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1,0,-2,1,0,-2,-1,-1,2,-1,-1,-1,2,0,1,0,2,0,1,-1,0,-1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,2,4,5,2,,,1,2,4,4,ANTI US,2,2,3,1,4,3,1,5,16,1
534,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,5,2,1,1.0,1.0,1,1,1,1,ANTI US,2,1,3,1,3,2,1,5,33,1
535,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,-2,2,2,2,2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,4,1,1.0,1.0,1,1,1,1,ANTI US,1,2,2,1,1,2,3,4,43,1
536,0,0,0,1,0,0,2,-2,2,2,1,1,2,1,1,2,1,2,2,1,2,2,1,2,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,2,2,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2,1,1,4.0,1.0,1,1,1,1,ANTI US,2,1,5,1,3,1,2,4,33,1
537,0,0,0,1,0,0,2,2,2,2,2,0,2,1,1,1,-1,-2,1,2,2,2,0,2,2,2,2,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1,-2,-2,2,-2,-1,-2,-2,2,-2,0,0,0,2,-2,0,-1,-1,2,-2,-1,-2,-2,1,-2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,4,3,2,,,2,1,2,1,ANTI US,1,2,5,1,5,2,3,6,5,1
538,1,0,0,0,0,0,2,1,1,1,1,-1,2,2,-1,1,-2,1,1,2,1,2,2,1,2,1,2,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,,,,,,,,,,,-1,1,0,0,-1,1,0,1,1,-1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,2,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,4,3,1,2.0,1.0,1,1,1,1,ANTI US,3,1,4,1,1,2,3,3,5,1
539,0,0,1,0,0,0,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,3,2,1,1.0,1.0,1,1,1,1,ANTI US,3,1,2,1,1,2,2,5,2,1
540,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,,,,,,,,,,-2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,0,1,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,6,1,1,1.0,1.0,1,1,1,1,ANTI US,2,2,5,4,1,2,1,1,33,1
541,1,0,0,0,0,0,1,1,-2,-2,-1,2,-2,-2,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2,4,3,,,2,3,3,2,ANTI US,2,2,6,5,5,3,5,6,5,1
542,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,8,3,,,1,1,1,1,ANTI US,4,2,6,5,5,1,1,1,4,1
543,1,0,0,0,0,0,-1,1,-1,0,2,2,1,0,-1,2,1,1,-2,-2,-1,1,0,-1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,-1,-1,-1,0,-1,1,1,-1,2,-1,0,-1,0,-1,2,-2,0,-1,0,0,1,0,-1,1,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,2,,,1,3,2,1,ANTI US,1,2,2,1,1,1,1,1,25,1
544,0,0,0,1,0,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,6,1,1,1.0,1.0,1,1,1,1,ANTI US,3,1,4,1,3,1,1,5,33,1
545,0,1,0,0,0,0,-2,1,-1,-1,1,2,-1,-2,-1,1,2,-1,1,-1,-1,-2,1,2,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-1,0,1,-1,1,-1,0,1,2,-1,0,1,0,2,1,1,0,0,-1,0,0,-1,0,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3,3,1,3.0,2.0,2,2,1,1,ANTI US,1,2,2,1,5,2,3,2,25,1
546,1,0,0,0,0,0,2,2,2,2,2,0,2,2,2,2,0,2,0,2,2,2,2,-2,2,2,-2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,,,,,,,,,,-2,2,2,2,2,-2,2,2,2,2,-2,2,2,2,2,-2,2,2,2,2,-2,2,2,2,2,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,5,1,3,,,1,1,1,1,ANTI US,6,1,2,1,1,1,3,4,10,1
547,1,0,0,0,0,0,1,1,0,2,0,1,0,0,1,2,-1,1,0,2,1,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,2,1,4.0,2.0,2,1,1,1,ANTI US,1,2,6,5,5,3,1,6,43,1
548,0,0,0,1,0,0,-1,0,1,0,0,-1,-2,0,-2,-1,-2,-1,1,-2,-2,-1,0,-1,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,1,-1,-1,2,1,0,-1,1,-1,0,-1,0,1,-1,-1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,6,6,1,2.0,1.0,2,3,1,1,ANTI US,1,2,4,4,2,1,5,4,6,1
549,0,0,1,0,0,0,-2,-2,1,-1,-1,1,-1,-1,-2,-2,-2,1,1,-1,1,1,-2,2,1,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,-1,0,-1,0,0,0,0,-1,-2,1,-2,-1,-1,-1,-2,-1,0,0,0,-2,1,-2,-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,2,3,6,1,3.0,1.0,2,1,4,1,ANTI US,2,2,2,1,1,1,5,6,18,1
550,1,0,0,0,0,0,1,-1,1,1,-1,-1,1,1,-1,1,-1,1,-1,-1,0,1,-1,-1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,0,2,2,2,2,0,0,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,4,1,2.0,1.0,2,1,1,1,ANTI US,2,2,4,1,1,1,1,4,11,1
551,0,0,0,0,0,1,2,1,1,2,1,-2,2,2,-2,-2,-2,-2,-1,2,2,2,2,-1,1,1,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,-2,-2,-2,-2,0,-2,-2,-2,-2,-1,-2,-2,2,-2,-1,-2,-2,2,-2,-2,-2,-2,2,-2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,3,5,2,,,3,3,1,1,ANTI US,3,2,5,1,4,3,1,5,1,1
552,0,0,0,0,0,1,1,1,1,2,2,-1,1,1,0,0,-2,1,0,1,1,1,1,1,-1,-2,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-2,0,1,-2,2,-2,0,1,-2,2,0,0,0,-2,2,1,0,1,-2,2,0,0,1,-2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,4,4,2,,,2,3,2,3,ANTI US,4,2,2,1,1,1,5,4,37,1
553,1,0,0,0,0,0,1,1,-2,0,0,-1,-2,-2,-2,-2,-2,-2,-2,1,1,1,0,-1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,2,3,6,2,,,4,4,4,4,ANTI US,4,2,3,4,5,3,1,6,39,1
554,1,0,0,0,0,0,2,2,1,2,1,1,2,1,1,-1,-1,-1,-1,1,1,1,1,2,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,1,0,1,1,0,0,0,2,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,2,,,2,2,2,2,ANTI US,1,1,2,1,5,3,1,2,6,1
555,0,0,0,1,0,0,1,-1,2,-2,-1,-1,1,-1,1,1,2,-1,1,1,-1,1,2,1,1,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,-1,1,2,2,1,1,0,1,1,2,2,2,1,1,2,1,2,2,1,1,1,0,2,1,2,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,4,1,1.0,1.0,1,1,1,1,ANTI US,2,1,4,1,3,2,1,4,14,1
556,1,0,0,0,0,0,1,0,1,2,1,-1,2,2,1,1,-2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,-1,1,1,1,1,-1,1,1,1,1,0,-2,-2,0,-2,-1,-2,-2,-2,-2,0,0,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,4,2,,,1,1,2,1,ANTI US,4,1,4,2,1,2,1,2,10,1
557,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,-2,2,2,2,2,-2,2,2,2,2,-2,2,2,2,2,-2,2,2,2,2,-2,2,2,2,2,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,7,7,1,1.0,1.0,1,2,1,2,ANTI US,4,2,4,1,1,2,3,4,41,1
558,1,0,0,0,0,0,-1,1,1,0,1,1,-1,2,1,1,-2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,2,1,5,3,,,2,2,1,1,ANTI US,4,1,3,1,1,1,1,4,40,1
559,0,0,0,1,0,0,-1,1,1,1,1,1,-1,0,0,0,-2,-1,0,1,-1,1,0,2,2,2,2,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,7,8,3,,,4,2,2,2,ANTI US,3,2,2,2,1,3,1,1,25,1
560,1,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,8,1,6.0,3.0,3,3,3,3,ANTI US,1,2,4,2,5,3,5,3,33,1
561,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,-2,2,2,2,2,-2,2,2,2,2,-2,2,2,2,2,-2,2,2,2,2,-2,2,2,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,7,1,1.0,3.0,1,1,1,1,ANTI US,3,2,2,4,5,3,1,2,10,1
562,0,1,0,0,0,0,1,-2,-1,-2,2,-1,-1,-2,-2,2,-1,1,0,2,-1,-1,-1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,-1,0,1,0,1,0,-1,0,0,0,1,0,0,0,1,0,2,-1,0,1,0,0,-2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3,4,1,3.0,1.0,1,1,1,1,ANTI US,1,1,3,3,3,2,1,3,10,1
